9, -15, 23
11, 20, 6
8, 6, 2
-7, -5, -11
20, 18, -15
16, 11, 4
15, -8, 10
15, 5, 22
-12, 21, 23
9, 23, 7
19, 3, 22
18, 15, -10
14, 13, 1
24, 16, 8
3, 20, 24
8, 16, -10
21, -11, 16
19, 13, 1
3, 24, 18
14, 3, 22
4, 5, -7
8, 7, -5
18, 8, -12
10, 14, -9
14, 9, -20
17, 2, 23
21, 20, -7
-9, 18, 25
20, 2, 11
22, 20, -17
23, 15, 1
13, -12, 21
5, 24, 11
12, 17, 2
4, 8, 13
14, 1, 20
7, 17, -5
19, -24, 11
21, -19, 22
22, -17, 12
3, 18, 11
0, 0, 0
23, 13, -14
1, 12, 7
15, 12, -6
10, 17, -4
22, -19, 15
8, -11, 1
5, -16, 19
1, 2, 3
