5.0, 5.0, 5.0
10.0, 10.0, 10.0
16.0, 16.0, 16.0
6.0, 6.0, 6.0
12.0, 12.0, 12.0
3.0, 3.0, 3.0
8.0, 8.0, 8.0
17.0, 17.0, 17.0
14.0, 14.0, 14.0
9.0, 9.0, 9.0
13.0, 13.0, 13.0
2.0, 2.0, 2.0
15.0, 15.0, 15.0
7.0, 7.0, 7.0
4.0, 4.0, 4.0
11.0, 11.0, 11.0
18.0, 18.0, 18.0
1.0, 1.0, 1.0
19.0, 19.0, 19.0
20.0, 20.0, 20.0
8.0, 8.0, 8.0
7.0, 7.0, 7.0
5.0, 5.0, 5.0
11.0, 11.0, 11.0
13.0, 13.0, 13.0
18.0, 18.0, 18.0
15.0, 15.0, 15.0
10.0, 10.0, 10.0
6.0, 6.0, 6.0
9.0, 9.0, 9
3.0, 3.0, 3.0
12.0, 12.0, 12.0
16.0, 16.0, 16.0
14.0, 14.0, 14.0
1.0, 1.0, 1.0
2.0, 2.0, 2.0
17.0, 17.0, 17.0
4.0, 4.0, 4.0
19.0, 19.0, 19.0
20.0, 20.0, 20.0
11.0, 11.0, 11.0
9.0, 9.0, 9.0
5.0, 5.0, 5.0
15.0, 15.0, 15.0
8.0, 8.0, 8.0
7.0, 7.0, 7.0
3.0, 3.0, 3.0
10.0, 10.0, 10.0
55.0, 55.0, 55.0
54.0, 54.0, 54.0
