6.0, 9.0, 6.0
3.0, 5.0, 5.0
9.0, 12.0, 9.0
5.0, 7.0, 5.0
8.0, 10.0, 8.0
12.0, 13.0, 12.0
10.0, 12.0, 10.0
4.0, 6.0, 6.0
7.0, 10.0, 7.0
11.0, 14.0, 11.0
14.0, 15.0, 14.0
3.0, 4.0, 4.0
13.0, 15.0, 13.0
8.0, 9.0, 8.0
6.0, 8.0, 6.0
1.0, 2.0, 2.0
11.0, 12.0, 11.0
15.0, 16.0, 15.0
9.0, 11.0, 9.0
2.0, 3.0, 3.0
12.0, 14.0, 12.0
7.0, 9.0, 7.0
4.0, 5.0, 5.0
14.0, 16.0, 14.0
10.0, 13.0, 10.0
13.0, 14.0, 13.0
5.0, 6.0, 6.0
8.0, 11.0, 8.0
1.5, 1.5, 2.0
10.0, 11.0, 10.0
2.0, 2.0, 3.0
12.0, 15.0, 12.0
6.0, 7.0, 7.0
15.0, 17.0, 15.0
9.0, 10.0, 9.0
11.0, 13.0, 11.0
7.0, 8.0, 8.0
3.0, 3.0, 4.0
14.0, 17.0, 14.0
4.0, 4.0, 5.0
10.0, 12.0, 10.0
13.0, 16.0, 13.0
5.0, 5.0, 6.0
8.0, 8.0, 9.0
1.9, 1.9, 3.0
11.0, 11.0, 12
15.0, 15.0, 16.0
2.5, 2.5, 4.0
6.0, 6.0, 7.0
7.0, 7.0, 1.0
